"LEAID","YEAR","FIPST","URBANICITY","OPERATIONAL_SCHOOLS","TREATED","V33","A09","C10","C25","A09_PUPIL","C10_PUPIL","C25_PUPIL","ALL_PUPIL","TOTFRL_PCT","BL_PCT","WH_PCT","HI_PCT","CHARTER_PCT","TITLEI_PCT"
200520,10,"02","RURAL",9,16,330,57000,0,126000,186.910540204763,0,413.170667821055,600.081208025818,0.451515151515152,0.00606060606060606,0.354545454545455,0.00909090909090909,0,0.621212121212121
200525,10,"02","RURAL",3,14,279,2000,0,129000,7.75708712413654,0,500.332119506807,508.089206630943,0.74910394265233,0.003584229390681,0.017921146953405,0,0,1
200540,10,"02","RURAL",2,18,1151,41000,0,59000,38.5461857571668,0,55.4689014554351,94.0150872126021,0.0790616854908775,0.0642919200695048,0.576020851433536,0.0399652476107732,0,0.173761946133797
200570,10,"02","TOWN",5,14,688,63000,0,225000,99.0888956256889,0,353.888912948889,452.977808574578,0.619186046511628,0.00290697674418605,0.162790697674419,0.0116279069767442,0.063953488372093,0.915697674418605
200610,10,"02","RURAL",11,14,1879,123000,0,598000,70.8355398720047,0,344.387421491535,415.22296136354,0.426290580095796,0.00372538584353379,0.038850452368281,0.010111761575306,0,0.357104843001597
200625,10,"02","RURAL",12,14,1930,151000,0,1179000,84.6627780965669,0,661.042485932797,745.705264029363,0.744559585492228,0.00310880829015544,0.0290155440414508,0.00207253886010363,0,1
200700,10,"02","RURAL",11,14,162,6000,0,88000,40.0782834747055,0,587.81482429568,627.893107770383,0.604938271604938,0.0123456790123457,0.876543209876543,0.037037037037037,0,1
200710,10,"02","RURAL",8,15,634,57000,0,312000,97.2878206113118,0,532.522807556654,629.810628167967,0.908517350157729,0,0.0141955835962145,0,0,1
200760,10,"02","RURAL",10,14,366,38000,0,215000,112.350597937289,0,635.667856750451,748.01845468774,0.721311475409836,0,0.0491803278688525,0,0,1
200775,10,"02","RURAL",8,15,264,32000,0,102000,131.165291371763,0,418.089366247496,549.254657619258,0.715909090909091,0,0.0340909090909091,0,0,1
200862,10,"02","URBAN",10,14,1387,4000,0,90000,3.12073151785738,0,70.2164591517911,73.3371906696482,0.0930064888248017,0.0216294160057678,0.586157173756309,0.0216294160057678,0,1
400005,10,"04","RURAL",1,15,107,1000,0,70000,10.1132117179163,0,707.924820254143,718.03803197206,0.97196261682243,0,0.280373831775701,0.700934579439252,0,1
400016,10,"04","TOWN",5,17,982,79000,0,599000,87.0539497469926,0,660.067289853779,747.121239600772,0.684317718940937,0.0763747454175153,0.239307535641548,0.65071283095723,1,1
400022,10,"04","RURAL",1,14,170,0,0,11000,0,0,70.0191187763972,70.0191187763971,0.690909090909091,0.0117647058823529,0.811764705882353,0.117647058823529,0,1
400047,10,"04","RURAL",2,18,273,0,0,343000,0,0,1359.57869325732,1359.57869325731,0.347985347985348,0.00366300366300366,0.00732600732600733,0.164835164835165,1,0.857142857142857
400055,10,"04","URBAN",2,17,78,1000,0,20000,13.8732519720134,0,277.465039440269,291.338291412282,0.794871794871795,0,0.435897435897436,0.512820512820513,1,1
400083,10,"04","TOWN",12,14,1112,15000,0,1000,14.5968568410573,0,0.97312378940382,15.5699806304611,0.719424460431655,0.026978417266187,0.139388489208633,0.803057553956835,1,1
400109,10,"04","URBAN",1,18,532,7000,0,312000,14.2383375502243,0,634.623045095712,648.861382645936,0.842105263157895,0.0714285714285714,0.056390977443609,0.823308270676692,1,1
400147,10,"04","URBAN",1,15,149,10000,0,23000,72.6250774373857,0,167.037678105987,239.662755543373,0.597315436241611,0,0,0.181208053691275,1,1
400221,10,"04","URBAN",1,16,391,0,0,246000,0,0,680.818309051135,680.818309051135,0.943734015345269,0.460358056265985,0.0358056265984655,0.432225063938619,1,1
400227,10,"04","URBAN",1,17,257,0,0,128000,0,0,538.951547426389,538.951547426389,0.941634241245136,0.447470817120623,0.0350194552529183,0.459143968871595,1,1
400244,10,"04","URBAN",5,17,860,22000,0,264000,27.6819771906687,0,332.183726288024,359.865703478693,0.42906976744186,0.0581395348837209,0.324418604651163,0.552325581395349,1,0.705813953488372
400282,10,"04","URBAN",2,18,1151,45000,0,0,42.3067892456708,0,0,42.3067892456708,0.727193744569939,0.0234578627280626,0.0842745438748914,0.88010425716768,1,1
400318,10,"04","URBAN",1,17,282,1000,0,129000,3.83728246034414,0,495.009437384394,498.846719844738,0.960992907801418,0.0283687943262411,0.0390070921985816,0.911347517730496,1,1
