"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"4631560","46",7,49,9000,0,13000,3,"03","3","KG","12",NA,NA
"4631710","46",7,1164,355000,3000,90000,4,"03","3","PK","12","42","Rural"
"4632340","46",7,162,25000,0,35000,3,"03","3","PK","12","43","Rural"
"4632430","46",7,129,34000,0,13000,3,"03","3","KG","12","43","Rural"
"4633360","46",7,477,105000,1000,77000,3,"03","3","PK","12","42","Rural"
"4634440","46",7,134,25000,0,23000,3,"03","3","KG","12","43","Rural"
"4634480","46",7,848,115000,1000,150000,4,"03","3","PK","12","33","Town"
"4634600","46",7,140,21000,0,23000,3,"03","3","KG","12","43","Rural"
"4635010","46",7,-2,0,0,0,0,"06","N","N","N",NA,NA
"4635400","46",7,160,52000,0,22000,3,"03","3","KG","12",NA,NA
"4635480","46",7,2135,534000,6000,478000,11,"03","3","PK","12","33","Town"
"4635500","46",7,297,68000,1000,46000,3,"03","3","PK","12",NA,NA
"4636060","46",7,391,60000,1000,118000,6,"03","3","PK","12","43","Rural"
"4636120","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4636150","46",7,158,33000,0,23000,5,"03","3","KG","12","43","Rural"
"4636270","46",7,75,18000,0,19000,3,"03","3","KG","12",NA,NA
"4636990","46",7,1010,357000,3000,97000,4,"03","3","PK","12","22","Urban"
"4637500","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4638220","46",7,288,50000,1000,107000,5,"03","3","KG","12","43","Rural"
"4639540","46",7,408,36000,1000,174000,4,"03","3","PK","12","43","Rural"
"4639600","46",7,1169,305000,3000,140000,6,"03","3","PK","12","32","Town"
"4639990","46",7,202,47000,1000,37000,3,"03","3","KG","12","43","Rural"
"4640860","46",7,217,45000,1000,64000,4,"03","3","PK","12","43","Rural"
"4641300","46",7,840,199000,2000,102000,4,"03","3","PK","12","32","Town"
"4641520","46",7,301,59000,1000,35000,4,"03","3","PK","12","43","Rural"
"4641550","46",7,913,356000,2000,80000,5,"03","3","PK","12","42","Rural"
"4641640","46",7,242,27000,1000,134000,6,"03","3","PK","12","43","Rural"
"4644770","46",7,374,63000,1000,105000,4,"03","3","PK","12","43","Rural"
"4644940","46",7,869,231000,3000,105000,3,"03","3","PK","12","42","Rural"
"4645450","46",7,241,59000,1000,24000,3,"03","3","PK","12","42","Rural"
"4646260","46",7,173,8000,1000,71000,3,"03","3","PK","12","43","Rural"
"4646380","46",7,418,9000,2000,161000,3,"03","3","PK","12","43","Rural"
"4647100","46",7,304,62000,0,137000,6,"03","3","PK","12","43","Rural"
"4647490","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4647942","46",7,503,75000,1000,73000,4,"03","3","PK","12","43","Rural"
"4648390","46",7,2453,828000,6000,398000,7,"03","3","KG","12","33","Town"
"4648450","46",7,586,161000,2000,127000,4,"03","3","KG","12",NA,NA
"4648780","46",7,223,52000,1000,55000,4,"03","3","KG","12","42","Rural"
"4649650","46",7,230,41000,1000,44000,3,"03","3","PK","12","42","Rural"
"4650670","46",7,291,53000,1000,25000,3,"03","3","KG","12","42","Rural"
"4650850","46",7,359,55000,1000,73000,3,"03","3","KG","12","43","Rural"
"4651730","46",7,NA,NA,NA,NA,1,NA,NA,"N","N","43","Rural"
"4651750","46",7,275,71000,1000,42000,3,"03","3","KG","12","43","Rural"
"4651790","46",7,-2,0,0,0,0,"06","N","N","N",NA,NA
"4652770","46",7,126,12000,0,35000,3,"03","3","KG","12","43","Rural"
"4654270","46",7,357,122000,1000,32000,3,"03","3","KG","12","42","Rural"
"4654300","46",7,617,165000,1000,59000,6,"03","3","PK","12","43","Rural"
"4655260","46",7,2551,629000,6000,290000,6,"03","3","PK","12","33","Town"
"4655710","46",7,242,42000,1000,34000,5,"03","3","PK","12","43","Rural"
"4655800","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4657970","46",7,54,13000,0,10000,3,"03","3","KG","12",NA,NA
"4659820","46",7,13249,2018000,23000,1519000,29,"03","3","PK","12","13","Urban"
"4660450","46",7,619,99000,1000,57000,4,"03","3","PK","12","43","Rural"
"4663360","46",7,202,57000,1000,29000,4,"03","3","KG","12","43","Rural"
"4663400","46",7,126,29000,0,40000,3,"03","3","KG","12",NA,NA
"4664140","46",7,123,35000,0,18000,3,"03","3","KG","12","42","Rural"
"4664300","46",7,NA,NA,NA,NA,1,NA,NA,"N","N","42","Rural"
"4665180","46",7,268,68000,1000,50000,3,"03","3","KG","12","43","Rural"
